root_uid	eventmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	qnode_type_id	attribute	qnode_attribute_id	start_date_type	start_date	end_date_type	end_date
L0C04938V	EVL0C04959D.000001	L0C04959D	36	39	kill	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Fact check: An alkaline diet won't kill the coronavirus	medical	intervention	cure	Q1595418	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000002	L0C04959D	98	101	beat	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The claim: An alkaline diet will help beat the coronavirus	medical	intervention	cure	Q1595418	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000003	L0C04959D	585	588	beat	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	A claim posted on Facebook alleged that the pH of the coronavirus varies from 5.5 to 8.5, and "all we need to do, to beat coronavirus," is eat alkaline foods above the pH levels of the virus.	medical	intervention	cure	Q1595418	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000004	L0C04959D	607	609	eat	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	A claim posted on Facebook alleged that the pH of the coronavirus varies from 5.5 to 8.5, and "all we need to do, to beat coronavirus," is eat alkaline foods above the pH levels of the virus.	life	consume	unspecified	Q1663054	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000005	L0C04959D	495	501	alleged	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	A claim posted on Facebook alleged that the pH of the coronavirus varies from 5.5 to 8.5, and "all we need to do, to beat coronavirus," is eat alkaline foods above the pH levels of the virus.	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000006	L0C04959D	260	267	pandemic	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	False claims and misinformation about coronavirus cures have circulated on social media as people search for hope and good news during the pandemic.	disaster	diseaseoutbreak	unspecified	outbreak	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000007	L0C04959D	1941	1946	Eating	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Eating more alkaline foods is not a proven preventive measure or cure for the coronavirus.	life	consume	unspecified	Q1663054	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000008	L0C04959D	1984	2001	preventive measure	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Eating more alkaline foods is not a proven preventive measure or cure for the coronavirus.	control	impedeinterferewith	prevent	Q1717246	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000009	L0C04959D	2006	2009	cure	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Eating more alkaline foods is not a proven preventive measure or cure for the coronavirus.	medical	intervention	cure	Q1595418	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000010	L0C04959D	2630	2636	prevent	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Donald Schaffner, a food science specialist, told The Associate Press, "These pH values for these foods are completely wrong," and people can eat these foods if they want, but the best way to prevent getting sick is to stay away from other people.	control	impedeinterferewith	prevent	Q1717246	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000011	L0C04959D	2657	2683	stay away from other people	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Donald Schaffner, a food science specialist, told The Associate Press, "These pH values for these foods are completely wrong," and people can eat these foods if they want, but the best way to prevent getting sick is to stay away from other people.	socialbehavior	complyobey	unspecified	Q1399332	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000012	L0C04959D	2638	2649	getting sick	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Donald Schaffner, a food science specialist, told The Associate Press, "These pH values for these foods are completely wrong," and people can eat these foods if they want, but the best way to prevent getting sick is to stay away from other people.	life	illness	unspecified	Q12136	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04938V	EVL0C04959D.000013	L0C04959D	2749	2752	beat	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The claim that an alkaline diet will help beat the coronavirus is FALSE.	medical	intervention	cure	Q1595418	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
