root_uid	eventmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	qnode_type_id	attribute	qnode_attribute_id	start_date_type	start_date	end_date_type	end_date
L0C049963	EVL0C049DQW.000001	L0C049DQW	59	65	prevent	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Coronavirus: there are no miracle foods or diets that can prevent or cure COVID-19	control	impedeinterferewith	prevent	Q1717246	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000002	L0C049DQW	70	73	cure	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Coronavirus: there are no miracle foods or diets that can prevent or cure COVID-19	medical	intervention	cure	Q1595418	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000003	L0C049DQW	144	147	cure	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Fake news spread on social media claims "super foods" can cure COVID-19.	medical	intervention	cure	Q1595418	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000004	L0C049DQW	119	124	claims	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Fake news spread on social media claims "super foods" can cure COVID-19.	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000005	L0C049DQW	1204	1210	prevent	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Though garlic is considered to be a healthy food, there’s no evidence showing that eating it can prevent or cure COVID-19.	control	impedeinterferewith	prevent	Q1717246	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000006	L0C049DQW	1215	1218	cure	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Though garlic is considered to be a healthy food, there’s no evidence showing that eating it can prevent or cure COVID-19.	medical	intervention	cure	Q1595418	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000007	L0C049DQW	1190	1195	eating	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Though garlic is considered to be a healthy food, there’s no evidence showing that eating it can prevent or cure COVID-19.	life	consume	unspecified	Q1663054	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000008	L0C049DQW	1330	1335	combat	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One viral Facebook video claimed that drinking warm water with lemon slices could combat novel coronavirus.	medical	intervention	cure	Q1595418	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000009	L0C049DQW	1286	1293	drinking	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One viral Facebook video claimed that drinking warm water with lemon slices could combat novel coronavirus.	life	consume	unspecified	Q1663054	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000010	L0C049DQW	1273	1279	claimed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One viral Facebook video claimed that drinking warm water with lemon slices could combat novel coronavirus.	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
