root_uid	eventmention_id	slot_type	general_slot_type	argmention_id	attribute	qnode_attribute_id
L0C049963	EVL0C049DQW.000001	Prevented_Thing	A1-ppt_theme_Theme	ENL0C049DQW.000046	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000001	Preventer	A0-pag_agent_Agent	ENL0C049DQW.000048	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000001	Preventer2	A0-pag_agent_Agent	ENL0C049DQW.000047	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000002	MedicalIssue	A2-ppt_Theme_illness_or_injury	ENL0C049DQW.000046	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000002	Instrument	A3-mnr_X_instrument_treatment	ENL0C049DQW.000048	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000002	Instrument2	A3-mnr_X_instrument_treatment	ENL0C049DQW.000047	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000003	MedicalIssue	A2-ppt_Theme_illness_or_injury	ENL0C049DQW.000051	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000003	Instrument	A3-mnr_X_instrument_treatment	ENL0C049DQW.000050	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000004	Topic	A1-ppt_topic_utterance	EVL0C049DQW.000003	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000004	Communicator	A0-pag_agent_announcer	ENL0C049DQW.000054	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000005	Prevented_Thing	A1-ppt_theme_Theme	ENL0C049DQW.000055	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000005	Preventer	A0-pag_agent_Agent	ENL0C049DQW.000056	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000006	MedicalIssue	A2-ppt_Theme_illness_or_injury	ENL0C049DQW.000055	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000006	Instrument	A3-mnr_X_instrument_treatment	ENL0C049DQW.000056	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000007	ConsumedThing	A1-ppt_patient_entity_ingested	ENL0C049DQW.000056	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000008	MedicalIssue	A2-ppt_Theme_illness_or_injury	ENL0C049DQW.000061	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000008	Instrument	A3-mnr_X_instrument_treatment	ENL0C049DQW.000063	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000009	ConsumedThing	A1-ppt_patient_entity_ingested	ENL0C049DQW.000063	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000010	Topic	A1-ppt_topic_utterance	EVL0C049DQW.000009	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000010	Topic2	A1-ppt_topic_utterance	EVL0C049DQW.000008	EMPTY_NA	EMPTY_NA
