root_uid	argmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	qnode_type_id	arg_status	level
L0C04CKAO	ENL0C04CVH2.000001	L0C04CVH2	1	5	Trump	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Trump	PER	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C04CKAO	EVL0C04CVH2.000003	L0C04CVH2	47	54	ordering	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	ordering	government	legislate	legislate	Q11028	EMPTY_NA	EMPTY_NA
L0C04CKAO	ENL0C04CVH2.000001	L0C04CVH2	1	5	Trump	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Trump	PER	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C04CKAO	EVL0C04CVH2.000004	L0C04CVH2	93	96	made	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	made	government	legislate	legislate	Q11028	EMPTY_NA	EMPTY_NA
L0C04CKAO	ENL0C04CVH2.000002	L0C04CVH2	12	17	Sweden	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Sweden	GPE	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKAO	ENL0C04CVH2.000136	L0C04CVH2	56	75	coronavirus lockdown	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	coronavirus lockdown	LAW	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKAO	ENL0C04CVH2.000004	L0C04CVH2	90	91	US	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	US	GPE	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKAO	ENL0C04CVH2.000007	L0C04CVH2	148	153	Sweden	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Sweden	GPE	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKAO	ENL0C04CVH2.000133	L0C04CVH2	193	211	stay-at-home orders	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	stay-at-home orders	LAW	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKAO	ENL0C04CVH2.000138	L0C04CVH2	120	141	PRESIDENT Donald Trump	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	PRESIDENT Donald Trump	PER	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C04CKAO	EVL0C04CVH2.000005	L0C04CVH2	183	191	enforcing	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	enforcing	government	legislate	legislate	Q11028	EMPTY_NA	EMPTY_NA
L0C04CKAO	ENL0C04CVH2.000011	L0C04CVH2	274	278	Trump	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Trump	PER	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C04CKAO	EVL0C04CVH2.000008	L0C04CVH2	350	363	paying heavily	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	paying heavily	disaster	diseaseoutbreak	unspecified	Q11028	EMPTY_NA	EMPTY_NA
