root_uid	eventmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
EMPTY_TBD	EVL0C04958T.000001	L0C04958T	48	56	Outbreak	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Disaster	DiseaseOutbreak	DiseaseOutbreak	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000002	L0C04958T	510	518	outbreak	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Disaster	DiseaseOutbreak	DiseaseOutbreak	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000003	L0C04958T	591	601	originated	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Create	Create	Unspecified	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000004	L0C04958T	903	911	infected	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Life	Infect	Unspecified	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000005	L0C04958T	1432	1440	outbreak	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Disaster	DiseaseOutbreak	DiseaseOutbreak	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000006	L0C04958T	1590	1597	tweeted	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Contact	MediaStatement	Broadcast	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000007	L0C04958T	1649	1660	introducing	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Movement	TransportArtifact	DisperseSeparate	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000008	L0C04958T	2422	2426	told	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Contact	MediaStatement	Broadcast	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000009	L0C04958T	3224	3231	escaped	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Create	Create	Unspecified	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000010	L0C04958T	3829	3839	infections	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Life	Infect	Unspecified	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000011	L0C04958T	4596	4600	told	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Contact	MediaStatement	Broadcast	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000012	L0C04958T	4698	4708	originated	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Create	Create	Unspecified	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000013	L0C04958T	5280	5284	post	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Contact	MediaStatement	Broadcast	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000014	L0C04958T	1474	1482	referred	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Contact	PublicStatementInPerson	Broadcast	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000015	L0C04958T	1261	1267	fanned	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Contact	PublicStatementInPerson	Broadcast	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
EMPTY_TBD	EVL0C04958T.000016	L0C04958T	1814	1818	said	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	Contact	MediaStatement	Broadcast	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD	EMPTY_TBD
